epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,612.694,0.74607,0.55471,0.88674,0.98449,0.91243,0.93694,0.77857,0.68092,0.41157,0.8754,0.000389109,0.000389109,0.000389109
43,626.958,0.77585,0.55471,0.90296,0.98369,0.91146,0.94947,0.7914,0.67053,0.40619,0.88021,0.000384258,0.000384258,0.000384258
44,641.217,0.75438,0.59078,0.90097,0.98498,0.908,0.95113,0.7936,0.66335,0.39155,0.87732,0.000379407,0.000379407,0.000379407
45,655.309,0.75148,0.54715,0.89696,0.98272,0.91012,0.95152,0.79597,0.66826,0.39785,0.87932,0.000374556,0.000374556,0.000374556
46,669.815,0.75339,0.54916,0.89414,0.98517,0.91292,0.95122,0.79202,0.67149,0.39537,0.88139,0.000369705,0.000369705,0.000369705
47,684.213,0.75144,0.54049,0.88946,0.98473,0.91274,0.95138,0.79634,0.66448,0.39271,0.8741,0.000364854,0.000364854,0.000364854
48,698.51,0.74359,0.57153,0.89153,0.98487,0.91286,0.95125,0.7996,0.65855,0.38533,0.87395,0.000360003,0.000360003,0.000360003
49,713.871,0.75244,0.55038,0.89261,0.98349,0.9115,0.93772,0.78142,0.67292,0.39677,0.87428,0.000355152,0.000355152,0.000355152
50,729.743,0.7288,0.52108,0.88636,0.98439,0.91212,0.9506,0.79972,0.65365,0.38552,0.8735,0.000350301,0.000350301,0.000350301
51,745.462,0.7254,0.53511,0.89627,0.98371,0.91278,0.95199,0.80186,0.65163,0.38301,0.87221,0.00034545,0.00034545,0.00034545
52,760.843,0.73194,0.53486,0.8951,0.98534,0.91276,0.93854,0.79084,0.64724,0.38696,0.87191,0.000340599,0.000340599,0.000340599
53,775.286,0.74217,0.52623,0.89195,0.98296,0.91225,0.93873,0.78804,0.65842,0.38583,0.87364,0.000335748,0.000335748,0.000335748
54,789.932,0.74769,0.53044,0.89672,0.9848,0.91024,0.93877,0.78789,0.65439,0.37899,0.87363,0.000330897,0.000330897,0.000330897
55,805.171,0.74111,0.5152,0.8944,0.98464,0.91233,0.95218,0.80034,0.65628,0.37107,0.87698,0.000326046,0.000326046,0.000326046
56,820.467,0.73343,0.50912,0.888,0.98477,0.91273,0.95221,0.78929,0.70001,0.38642,0.88854,0.000321195,0.000321195,0.000321195
57,835.94,0.76452,0.52727,0.90522,0.98506,0.91313,0.95193,0.80269,0.64706,0.36946,0.87149,0.000316344,0.000316344,0.000316344
58,851.619,0.71102,0.49104,0.88191,0.98551,0.91207,0.95244,0.80466,0.64963,0.37205,0.87257,0.000311493,0.000311493,0.000311493
59,866.728,0.71007,0.49695,0.88076,0.98477,0.91257,0.95282,0.80769,0.63762,0.36928,0.86977,0.000306642,0.000306642,0.000306642
60,881.957,0.71505,0.53146,0.87809,0.98383,0.91255,0.95239,0.79356,0.67533,0.37038,0.88075,0.000301791,0.000301791,0.000301791
61,897.358,0.71436,0.51026,0.88233,0.98379,0.91311,0.95259,0.80606,0.6367,0.37022,0.86929,0.00029694,0.00029694,0.00029694
62,912.596,0.76679,0.57867,0.90793,0.98433,0.91232,0.95218,0.80496,0.63762,0.36427,0.86913,0.000292089,0.000292089,0.000292089
63,927.229,0.73298,0.52093,0.88778,0.98421,0.91179,0.95248,0.80249,0.652,0.36619,0.87534,0.000287238,0.000287238,0.000287238
64,941.64,0.7205,0.48337,0.88475,0.9849,0.91211,0.95243,0.80344,0.64576,0.37268,0.87298,0.000282387,0.000282387,0.000282387
65,956.262,0.70433,0.49123,0.88086,0.98423,0.91267,0.95286,0.80471,0.64259,0.35876,0.87346,0.000277536,0.000277536,0.000277536
66,971.13,0.70844,0.48665,0.88554,0.98551,0.91276,0.95256,0.80538,0.64102,0.35885,0.87302,0.000272685,0.000272685,0.000272685
67,985.784,0.71629,0.48573,0.88187,0.98396,0.91268,0.95246,0.80111,0.63753,0.37016,0.86943,0.000267834,0.000267834,0.000267834
68,1000.21,0.69678,0.47816,0.87866,0.98444,0.91273,0.95206,0.80311,0.63992,0.35578,0.87166,0.000262983,0.000262983,0.000262983
69,1014.68,0.71157,0.48061,0.88403,0.98433,0.91239,0.95233,0.80712,0.63743,0.35354,0.86865,0.000258132,0.000258132,0.000258132
70,1028.98,0.68699,0.48869,0.87221,0.98385,0.91243,0.95312,0.80934,0.62885,0.35419,0.86738,0.000253281,0.000253281,0.000253281
71,1044.07,0.69892,0.48127,0.89145,0.98326,0.91107,0.95331,0.80631,0.64047,0.35683,0.87266,0.00024843,0.00024843,0.00024843
72,1059.52,0.71173,0.49152,0.89132,0.98571,0.90812,0.95328,0.80437,0.63612,0.35364,0.87011,0.000243579,0.000243579,0.000243579
73,1074.65,0.70806,0.47733,0.88053,0.98457,0.91284,0.9537,0.80598,0.63665,0.34927,0.86875,0.000238728,0.000238728,0.000238728
74,1089.23,0.71472,0.48591,0.88568,0.98464,0.91251,0.9538,0.81147,0.62525,0.3479,0.86694,0.000233877,0.000233877,0.000233877
75,1104.5,0.69443,0.45955,0.87863,0.98487,0.91263,0.95366,0.81222,0.62576,0.34908,0.86602,0.000229026,0.000229026,0.000229026
76,1119.05,0.70284,0.46025,0.88151,0.98559,0.9128,0.95354,0.80944,0.62571,0.34587,0.86766,0.000224175,0.000224175,0.000224175
77,1133.69,0.71516,0.47293,0.88818,0.98525,0.91272,0.95367,0.80956,0.62649,0.3516,0.86828,0.000219324,0.000219324,0.000219324
78,1148.23,0.71488,0.46148,0.88623,0.98491,0.91315,0.95392,0.8074,0.63414,0.34448,0.87205,0.000214473,0.000214473,0.000214473
79,1162.57,0.69357,0.45309,0.88149,0.98327,0.91451,0.95335,0.81073,0.62589,0.34591,0.86765,0.000209622,0.000209622,0.000209622
80,1177.04,0.68204,0.45552,0.87865,0.98562,0.90856,0.95375,0.81242,0.62578,0.34512,0.8693,0.000204771,0.000204771,0.000204771
81,1191.87,0.69772,0.46414,0.8742,0.98504,0.91164,0.95412,0.81452,0.61636,0.34328,0.86679,0.00019992,0.00019992,0.00019992
82,1206.63,0.67651,0.4741,0.86706,0.98644,0.90542,0.95398,0.81553,0.61433,0.34013,0.86368,0.000195069,0.000195069,0.000195069
83,1221.24,0.69417,0.46864,0.88275,0.98368,0.91082,0.95302,0.81416,0.61653,0.33984,0.86546,0.000190218,0.000190218,0.000190218
84,1235.84,0.68356,0.44551,0.8698,0.98536,0.91288,0.95308,0.81329,0.61483,0.34446,0.86612,0.000185367,0.000185367,0.000185367
85,1251.06,0.68634,0.45555,0.87677,0.98513,0.91255,0.9546,0.81408,0.61907,0.33546,0.86476,0.000180516,0.000180516,0.000180516
86,1265.48,0.68186,0.45055,0.86756,0.98513,0.91295,0.95466,0.80967,0.62108,0.33943,0.86635,0.000175665,0.000175665,0.000175665
87,1280.29,0.68756,0.45383,0.88116,0.98534,0.91256,0.95469,0.81042,0.6235,0.33913,0.868,0.000170814,0.000170814,0.000170814
88,1294.86,0.69815,0.45121,0.88944,0.98622,0.91139,0.95463,0.81111,0.62315,0.33709,0.86942,0.000165963,0.000165963,0.000165963
89,1309.25,0.69125,0.45041,0.87619,0.98629,0.91325,0.95466,0.81402,0.61219,0.33398,0.8648,0.000161112,0.000161112,0.000161112
90,1323.65,0.68219,0.44565,0.87849,0.98536,0.91336,0.95474,0.81381,0.61853,0.33419,0.86774,0.000156261,0.000156261,0.000156261
91,1337.86,0.66471,0.43058,0.86907,0.9855,0.91318,0.95469,0.813,0.61549,0.33549,0.86483,0.00015141,0.00015141,0.00015141
92,1352.32,0.67409,0.46603,0.88199,0.98621,0.91334,0.95462,0.81516,0.61217,0.33076,0.86594,0.000146559,0.000146559,0.000146559
93,1366.75,0.69297,0.43358,0.8796,0.98535,0.91406,0.95476,0.81607,0.61164,0.33069,0.86514,0.000141708,0.000141708,0.000141708
94,1381.03,0.66683,0.59487,0.85232,0.98703,0.9126,0.95429,0.81547,0.61166,0.32679,0.86449,0.000136857,0.000136857,0.000136857
95,1395.4,0.66631,0.42768,0.86999,0.98727,0.91227,0.95396,0.81557,0.61249,0.33095,0.86469,0.000132006,0.000132006,0.000132006
96,1409.85,0.67911,0.43449,0.87666,0.98465,0.91417,0.95436,0.81807,0.60355,0.32895,0.86193,0.000127155,0.000127155,0.000127155
97,1424.16,0.6857,0.43814,0.881,0.98595,0.91404,0.95464,0.81849,0.6073,0.3322,0.86286,0.000122304,0.000122304,0.000122304
98,1438.59,0.68653,0.44774,0.88011,0.98589,0.9137,0.95523,0.81889,0.60243,0.324,0.86249,0.000117453,0.000117453,0.000117453
99,1452.66,0.65942,0.43747,0.87416,0.98662,0.91371,0.95504,0.81932,0.60412,0.32371,0.8618,0.000112602,0.000112602,0.000112602
100,1466.86,0.68023,0.4326,0.8861,0.98711,0.91304,0.95504,0.81958,0.60314,0.32736,0.8619,0.000107751,0.000107751,0.000107751
101,1481.05,0.66112,0.42206,0.86722,0.98759,0.9135,0.95513,0.8194,0.60337,0.32195,0.8632,0.0001029,0.0001029,0.0001029
102,1495.42,0.68113,0.42379,0.87732,0.98759,0.91323,0.95524,0.82184,0.59891,0.32055,0.86102,9.8049e-05,9.8049e-05,9.8049e-05
103,1509.89,0.67669,0.45169,0.87375,0.9868,0.91394,0.95523,0.81606,0.61174,0.32258,0.86574,9.3198e-05,9.3198e-05,9.3198e-05
104,1524.22,0.6771,0.43438,0.88512,0.98743,0.91289,0.9552,0.8199,0.60292,0.32507,0.86182,8.8347e-05,8.8347e-05,8.8347e-05
105,1538.36,0.66333,0.42792,0.86453,0.98718,0.91389,0.95516,0.81931,0.59932,0.31959,0.86152,8.3496e-05,8.3496e-05,8.3496e-05
106,1552.48,0.65452,0.41837,0.86652,0.98692,0.91419,0.95502,0.82024,0.59898,0.31679,0.86104,7.8645e-05,7.8645e-05,7.8645e-05
107,1566.58,0.65977,0.42058,0.87076,0.98559,0.91472,0.95508,0.8197,0.60163,0.31687,0.86155,7.3794e-05,7.3794e-05,7.3794e-05
108,1580.91,0.66197,0.41489,0.86697,0.98496,0.91438,0.9551,0.82145,0.59906,0.31722,0.86021,6.8943e-05,6.8943e-05,6.8943e-05
109,1595.09,0.66624,0.41929,0.87111,0.98527,0.91357,0.95508,0.82028,0.60286,0.31715,0.86245,6.4092e-05,6.4092e-05,6.4092e-05
110,1609.49,0.64958,0.42079,0.86856,0.98637,0.91341,0.95509,0.82104,0.5956,0.31508,0.86008,5.9241e-05,5.9241e-05,5.9241e-05
111,1623.25,0.63383,0.43298,0.86992,0.98559,0.91285,0.95513,0.81953,0.59974,0.32078,0.86141,5.439e-05,5.439e-05,5.439e-05
112,1636.96,0.62743,0.4163,0.87185,0.98643,0.91316,0.95501,0.81806,0.60207,0.32431,0.8614,4.9539e-05,4.9539e-05,4.9539e-05
113,1650.52,0.65203,0.41849,0.88864,0.98615,0.91279,0.95518,0.82119,0.59586,0.31865,0.85995,4.4688e-05,4.4688e-05,4.4688e-05
114,1664.43,0.6244,0.41881,0.86927,0.98607,0.9135,0.99348,0.85059,0.59712,0.31764,0.86053,3.9837e-05,3.9837e-05,3.9837e-05
115,1678.13,0.61966,0.41284,0.86123,0.98705,0.91341,0.99348,0.85108,0.59733,0.31648,0.86018,3.4986e-05,3.4986e-05,3.4986e-05
116,1692.18,0.64081,0.41197,0.8743,0.98704,0.91369,0.99348,0.8514,0.59523,0.314,0.86008,3.0135e-05,3.0135e-05,3.0135e-05
117,1705.91,0.63268,0.39912,0.86745,0.98686,0.91399,0.99344,0.85152,0.59282,0.31272,0.85997,2.5284e-05,2.5284e-05,2.5284e-05
118,1720.06,0.62463,0.41336,0.86667,0.98669,0.91377,0.95519,0.82242,0.59147,0.31289,0.85922,2.0433e-05,2.0433e-05,2.0433e-05
119,1733.73,0.59956,0.41592,0.86413,0.98664,0.91365,0.95522,0.82256,0.59052,0.31238,0.85913,1.5582e-05,1.5582e-05,1.5582e-05
120,1747.37,0.61865,0.40784,0.8548,0.98682,0.91382,0.95525,0.82239,0.59035,0.31127,0.85943,1.0731e-05,1.0731e-05,1.0731e-05
